lemma	sentence1	sentence2	label	answer	prompt
Ëmlaf	viru Kuerzem sinn nei Euromënzen an (den) Ëmlaf bruecht ginn 	et si falsch Geldschäiner am Ëmlaf 	identical	richteg	"Ass d'Bedeitung vun 'Ëmlaf' an deenen zwee Sätz identesch? saz1: ""viru Kuerzem sinn nei Euromënzen an (den) Ëmlaf bruecht ginn "" saz2: ""et si falsch Geldschäiner am Ëmlaf """
dernieft	deen Typ ass ëmmer e bëssen dernieft , gëff näischt op säi Gerieds! 	däi Behuele war komplett dernieft , ech huelen dech néierens méi mat! 	different	falsch	"Ass d'Bedeitung vun 'dernieft' an deenen zwee Sätz identesch? saz1: ""deen Typ ass ëmmer e bëssen dernieft , gëff näischt op säi Gerieds! "" saz2: ""däi Behuele war komplett dernieft , ech huelen dech néierens méi mat! """
ewechrappen	dee Kärel huet enger Fra d'Posch am Park ewechgerappt ! 	déi al Fabrick ass ewechgerappt ginn 	different	falsch	"Ass d'Bedeitung vun 'ewechrappen' an deenen zwee Sätz identesch? saz1: ""dee Kärel huet enger Fra d'Posch am Park ewechgerappt ! "" saz2: ""déi al Fabrick ass ewechgerappt ginn """
Schalter	de Schalter huet e Wackelkontakt 	am Schalter Nummer 2 kann ee säin Abonnement erneieren 	different	falsch	"Ass d'Bedeitung vun 'Schalter' an deenen zwee Sätz identesch? saz1: ""de Schalter huet e Wackelkontakt "" saz2: ""am Schalter Nummer 2 kann ee säin Abonnement erneieren """
Constructeur	op der Foire hunn déi verschidde Constructeuren hir neisten Autosmodeller virgestallt 	de Constructeur vum Fliger gouf fir d'Ongléck verantwortlech gemaach 	identical	richteg	"Ass d'Bedeitung vun 'Constructeur' an deenen zwee Sätz identesch? saz1: ""op der Foire hunn déi verschidde Constructeuren hir neisten Autosmodeller virgestallt "" saz2: ""de Constructeur vum Fliger gouf fir d'Ongléck verantwortlech gemaach """
Waasser	ziel deem näischt virun, dee kann d'Waasser net halen 	ech krut Antibiotiquë verschriwwen, well ech Bakteerien am Waasser hat 	identical	richteg	"Ass d'Bedeitung vun 'Waasser' an deenen zwee Sätz identesch? saz1: ""ziel deem näischt virun, dee kann d'Waasser net halen "" saz2: ""ech krut Antibiotiquë verschriwwen, well ech Bakteerien am Waasser hat """
dem	ech hunn dem Bus missen nolafen 	de Jury huet dem Kandidat dräi Froe gestallt 	identical	richteg	"Ass d'Bedeitung vun 'dem' an deenen zwee Sätz identesch? saz1: ""ech hunn dem Bus missen nolafen "" saz2: ""de Jury huet dem Kandidat dräi Froe gestallt """
genial	ech hunn eng genial Iddi! 	mäi Papp ka genial erzielen 	identical	richteg	"Ass d'Bedeitung vun 'genial' an deenen zwee Sätz identesch? saz1: ""ech hunn eng genial Iddi! "" saz2: ""mäi Papp ka genial erzielen """
wäertvoll	ech soen Iech Merci fir Är wäertvoll Hëllef! 	hien huet a senger Timberesammlung e puer wäertvoll Eenzelstécker 	different	falsch	"Ass d'Bedeitung vun 'wäertvoll' an deenen zwee Sätz identesch? saz1: ""ech soen Iech Merci fir Är wäertvoll Hëllef! "" saz2: ""hien huet a senger Timberesammlung e puer wäertvoll Eenzelstécker """
Plo	an der Schoul waren d'Mathésstonne fir mech ëmmer eng Plo 	hiert Liewe war eng eenzeg Plo 	identical	richteg	"Ass d'Bedeitung vun 'Plo' an deenen zwee Sätz identesch? saz1: ""an der Schoul waren d'Mathésstonne fir mech ëmmer eng Plo "" saz2: ""hiert Liewe war eng eenzeg Plo """
Kask	de Motocyclist gouf vun der Police ugehalen, well en ouni Kask gefuer ass 	d'Pompjeeën hunn nei Kaske kritt 	identical	richteg	"Ass d'Bedeitung vun 'Kask' an deenen zwee Sätz identesch? saz1: ""de Motocyclist gouf vun der Police ugehalen, well en ouni Kask gefuer ass "" saz2: ""d'Pompjeeën hunn nei Kaske kritt """
Nieweroll	hien huet an de Verhandlungen nëmmen eng Nieweroll gespillt 	déi jonk Schauspillerin krut am Ufank nëmme kleng Niewerollen 	different	falsch	"Ass d'Bedeitung vun 'Nieweroll' an deenen zwee Sätz identesch? saz1: ""hien huet an de Verhandlungen nëmmen eng Nieweroll gespillt "" saz2: ""déi jonk Schauspillerin krut am Ufank nëmme kleng Niewerollen """
läimen	déi Kéier ware mer gutt geläimt ginn , dofir passe mer elo besser op 	ech läimen dee futtissen Tirang selwer 	different	falsch	"Ass d'Bedeitung vun 'läimen' an deenen zwee Sätz identesch? saz1: ""déi Kéier ware mer gutt geläimt ginn , dofir passe mer elo besser op "" saz2: ""ech läimen dee futtissen Tirang selwer """
anzéien	d'Bank huet dem Client seng Kaart agezunn , well säi Kont iwwerzunn ass 	d'Police huet dem alkoholiséierten Automobilist säi Fürerschäin agezunn 	identical	richteg	"Ass d'Bedeitung vun 'anzéien' an deenen zwee Sätz identesch? saz1: ""d'Bank huet dem Client seng Kaart agezunn , well säi Kont iwwerzunn ass "" saz2: ""d'Police huet dem alkoholiséierten Automobilist säi Fürerschäin agezunn """
ubannen	wann ee méi kleng Dierfer un d'Busnetz géif ubannen , wier manner Verkéier op eise Stroossen 	ëm dës Zäit ginn d'Riewen an de Wéngerten ugebonnen 	different	falsch	"Ass d'Bedeitung vun 'ubannen' an deenen zwee Sätz identesch? saz1: ""wann ee méi kleng Dierfer un d'Busnetz géif ubannen , wier manner Verkéier op eise Stroossen "" saz2: ""ëm dës Zäit ginn d'Riewen an de Wéngerten ugebonnen """
iwwel	hien ass keen iwwele Kärel 	menger Schwëster hiren neie Frënd ass net iwwel 	identical	richteg	"Ass d'Bedeitung vun 'iwwel' an deenen zwee Sätz identesch? saz1: ""hien ass keen iwwele Kärel "" saz2: ""menger Schwëster hiren neie Frënd ass net iwwel """
erschéissen	de verurteelten Deserteur gouf direkt erschoss 	den Doudkranken huet sech mat engem Juegdgewier erschoss 	different	falsch	"Ass d'Bedeitung vun 'erschéissen' an deenen zwee Sätz identesch? saz1: ""de verurteelten Deserteur gouf direkt erschoss "" saz2: ""den Doudkranken huet sech mat engem Juegdgewier erschoss """
debattéieren	an der Generalversammlung gouf iwwer eng Ännerung vun de Statuten debattéiert 	d'Politiker hu laang debattéiert , ier se sech eens goufen 	identical	richteg	"Ass d'Bedeitung vun 'debattéieren' an deenen zwee Sätz identesch? saz1: ""an der Generalversammlung gouf iwwer eng Ännerung vun de Statuten debattéiert "" saz2: ""d'Politiker hu laang debattéiert , ier se sech eens goufen """
strecken	streck deng Been net esou wäit ënner den Dësch, du stéiers déi aner! 	streck dech eng Kéier, da gëss de wakereg! 	different	falsch	"Ass d'Bedeitung vun 'strecken' an deenen zwee Sätz identesch? saz1: ""streck deng Been net esou wäit ënner den Dësch, du stéiers déi aner! "" saz2: ""streck dech eng Kéier, da gëss de wakereg! """
Séil	Iessen an Drénken hält Leif a Séil zesummen 	et war keng lieweg Séil ënnerwee 	different	falsch	"Ass d'Bedeitung vun 'Séil' an deenen zwee Sätz identesch? saz1: ""Iessen an Drénken hält Leif a Séil zesummen "" saz2: ""et war keng lieweg Séil ënnerwee """
fir	du kanns mir dach net fir all Dreck uruffen! 	déi zwee Cousinen hunn sech haut fir d'éischt (Kéier) gesinn 	different	falsch	"Ass d'Bedeitung vun 'fir' an deenen zwee Sätz identesch? saz1: ""du kanns mir dach net fir all Dreck uruffen! "" saz2: ""déi zwee Cousinen hunn sech haut fir d'éischt (Kéier) gesinn """
opdrängen	hien huet keng Manéieren an drängt sech ëmmer iwwerall op 	dat sinn Ännerungen, déi sech opdrängen 	different	falsch	"Ass d'Bedeitung vun 'opdrängen' an deenen zwee Sätz identesch? saz1: ""hien huet keng Manéieren an drängt sech ëmmer iwwerall op "" saz2: ""dat sinn Ännerungen, déi sech opdrängen """
zeréckschreiwen	hien huet mir e puer Wuert zeréckgeschriwwen 	komm, ech schreiwen him zwou Zeilen zeréck 	identical	richteg	"Ass d'Bedeitung vun 'zeréckschreiwen' an deenen zwee Sätz identesch? saz1: ""hien huet mir e puer Wuert zeréckgeschriwwen "" saz2: ""komm, ech schreiwen him zwou Zeilen zeréck """
pickeg	du kriss kee Kuss, däi Baart ass ze pickeg ! 	deng pickeg Bemierkunge kanns de der spueren! 	different	falsch	"Ass d'Bedeitung vun 'pickeg' an deenen zwee Sätz identesch? saz1: ""du kriss kee Kuss, däi Baart ass ze pickeg ! "" saz2: ""deng pickeg Bemierkunge kanns de der spueren! """
Uewen	mir hunn zwar eng Heizung, mee de Wanter brenne mer och Holz an engem Uewen 	bei deem Wieder bleiwen ech léiwer hannerem Uewen 	identical	richteg	"Ass d'Bedeitung vun 'Uewen' an deenen zwee Sätz identesch? saz1: ""mir hunn zwar eng Heizung, mee de Wanter brenne mer och Holz an engem Uewen "" saz2: ""bei deem Wieder bleiwen ech léiwer hannerem Uewen """
Industriegebitt	fréier war de Minett e rengt Industriegebitt 	den ekologeschen Impakt vum geplangten Industriegebitt muss nach studéiert ginn 	different	falsch	"Ass d'Bedeitung vun 'Industriegebitt' an deenen zwee Sätz identesch? saz1: ""fréier war de Minett e rengt Industriegebitt "" saz2: ""den ekologeschen Impakt vum geplangten Industriegebitt muss nach studéiert ginn """
sträichen	d'Mëllechkéi ginn zweemol am Dag gestrach 	gëtt et Betriber, wou d'Kéi nach vun Hand gestrach ginn ? 	identical	richteg	"Ass d'Bedeitung vun 'sträichen' an deenen zwee Sätz identesch? saz1: ""d'Mëllechkéi ginn zweemol am Dag gestrach "" saz2: ""gëtt et Betriber, wou d'Kéi nach vun Hand gestrach ginn ? """
Dunn	fréier haten déi besser Hären e Schnëppel an eng Dunn 	de Stagiaire huet eng gutt op d'Dunn kritt 	identical	richteg	"Ass d'Bedeitung vun 'Dunn' an deenen zwee Sätz identesch? saz1: ""fréier haten déi besser Hären e Schnëppel an eng Dunn "" saz2: ""de Stagiaire huet eng gutt op d'Dunn kritt """
wéineg	et fält nëmme wéineg Luucht duerch déi kleng Luck eran 	de leschte Mount ass wéineg Ree gefall 	different	falsch	"Ass d'Bedeitung vun 'wéineg' an deenen zwee Sätz identesch? saz1: ""et fält nëmme wéineg Luucht duerch déi kleng Luck eran "" saz2: ""de leschte Mount ass wéineg Ree gefall """
Schluss	ech hat keng Zäit, fir de Film bis zum Schluss ze kucken 	den Auteur huet fir d'Theaterstéck zwee verschidde Schlusse geschriwwen 	different	falsch	"Ass d'Bedeitung vun 'Schluss' an deenen zwee Sätz identesch? saz1: ""ech hat keng Zäit, fir de Film bis zum Schluss ze kucken "" saz2: ""den Auteur huet fir d'Theaterstéck zwee verschidde Schlusse geschriwwen """
Batz	am Exame wousst ech kee Batz (a kee Fatz) 	eist Krappegt fäert kee Batz 	identical	richteg	"Ass d'Bedeitung vun 'Batz' an deenen zwee Sätz identesch? saz1: ""am Exame wousst ech kee Batz (a kee Fatz) "" saz2: ""eist Krappegt fäert kee Batz """
ofginn	a fënnef Minutte mussen d'Schüler (hir Prüfung) ofginn 	en éierleche Mënsch huet Äre Portmonni bei der Police ofginn 	identical	richteg	"Ass d'Bedeitung vun 'ofginn' an deenen zwee Sätz identesch? saz1: ""a fënnef Minutte mussen d'Schüler (hir Prüfung) ofginn "" saz2: ""en éierleche Mënsch huet Äre Portmonni bei der Police ofginn """
soen	so , ech hätt der et gesot! 	so mir et net! 	different	falsch	"Ass d'Bedeitung vun 'soen' an deenen zwee Sätz identesch? saz1: ""so , ech hätt der et gesot! "" saz2: ""so mir et net! """
hë	hë ? Dat do checken ech net! 	hë ? Du hues se jo net méi all! 	different	falsch	"Ass d'Bedeitung vun 'hë' an deenen zwee Sätz identesch? saz1: ""hë ? Dat do checken ech net! "" saz2: ""hë ? Du hues se jo net méi all! """
Belästegung	de Fraeministère setzt sech géint sexuell Belästegung op der Aarbechtsplaz an 	d'Nopere bekloe sech iwwer d'Belästegung duerch de Chantier 	different	falsch	"Ass d'Bedeitung vun 'Belästegung' an deenen zwee Sätz identesch? saz1: ""de Fraeministère setzt sech géint sexuell Belästegung op der Aarbechtsplaz an "" saz2: ""d'Nopere bekloe sech iwwer d'Belästegung duerch de Chantier """
familiär	de Rektor huet ganz familiär mat de Studente geschwat 	aus familiäre Grënn huet eis Mataarbechterin dräi Deeg Congé geholl 	different	falsch	"Ass d'Bedeitung vun 'familiär' an deenen zwee Sätz identesch? saz1: ""de Rektor huet ganz familiär mat de Studente geschwat "" saz2: ""aus familiäre Grënn huet eis Mataarbechterin dräi Deeg Congé geholl """
Aschlag	seng Texter hunn ëmmer e gewëssene politeschen Aschlag 	eiser Duechter hiren neie Frënd huet e südlänneschen Aschlag 	identical	richteg	"Ass d'Bedeitung vun 'Aschlag' an deenen zwee Sätz identesch? saz1: ""seng Texter hunn ëmmer e gewëssene politeschen Aschlag "" saz2: ""eiser Duechter hiren neie Frënd huet e südlänneschen Aschlag """
verwinnen	där Koppel hiren Naschtquakert ass schéi verwinnt ! 	an deem Hotel si mir richteg verwinnt ginn 	different	falsch	"Ass d'Bedeitung vun 'verwinnen' an deenen zwee Sätz identesch? saz1: ""där Koppel hiren Naschtquakert ass schéi verwinnt ! "" saz2: ""an deem Hotel si mir richteg verwinnt ginn """
Wick	wou kritt een nach Wicke fir e Kenki ze kafen? 	iergendee Spëtzbouf huet d'Wick vun der Käerz ofgeschnidden 	identical	richteg	"Ass d'Bedeitung vun 'Wick' an deenen zwee Sätz identesch? saz1: ""wou kritt een nach Wicke fir e Kenki ze kafen? "" saz2: ""iergendee Spëtzbouf huet d'Wick vun der Käerz ofgeschnidden """
Parlament	dës Partei huet d'Majoritéit am Parlament 	d'Fassad vum Parlament gëtt restauréiert 	different	falsch	"Ass d'Bedeitung vun 'Parlament' an deenen zwee Sätz identesch? saz1: ""dës Partei huet d'Majoritéit am Parlament "" saz2: ""d'Fassad vum Parlament gëtt restauréiert """
bäissen	et deet gutt wéi, wann ee sech op d'Zong bäisst 	dee Pullover hei bäisst mech! 	different	falsch	"Ass d'Bedeitung vun 'bäissen' an deenen zwee Sätz identesch? saz1: ""et deet gutt wéi, wann ee sech op d'Zong bäisst "" saz2: ""dee Pullover hei bäisst mech! """
Geescht	d'Geescht an d'Huewer sinn dëst Joer besonnesch gutt gewuess 	dës Architektur entsprécht dem Geescht vun der Zäit 	different	falsch	"Ass d'Bedeitung vun 'Geescht' an deenen zwee Sätz identesch? saz1: ""d'Geescht an d'Huewer sinn dëst Joer besonnesch gutt gewuess "" saz2: ""dës Architektur entsprécht dem Geescht vun der Zäit """
Staat	déi meescht Staaten hunn dës Konventioun ratifizéiert 	aus där laangjäreger Diktatur gouf endlech en demokratesche Staat 	identical	richteg	"Ass d'Bedeitung vun 'Staat' an deenen zwee Sätz identesch? saz1: ""déi meescht Staaten hunn dës Konventioun ratifizéiert "" saz2: ""aus där laangjäreger Diktatur gouf endlech en demokratesche Staat """
reduzéieren	den Ecart tëschent deenen Aarmen an deene Räichen huet sech reduzéiert 	déi ganz Argumentatioun léisst sech op ee Saz reduzéieren 	different	falsch	"Ass d'Bedeitung vun 'reduzéieren' an deenen zwee Sätz identesch? saz1: ""den Ecart tëschent deenen Aarmen an deene Räichen huet sech reduzéiert "" saz2: ""déi ganz Argumentatioun léisst sech op ee Saz reduzéieren """
käppen	mueres fréi ass de Verurteelte gekäppt ginn 	d'Kanner hunn all d'Blumme gekäppt , déi am Virgäertche stoungen 	identical	richteg	"Ass d'Bedeitung vun 'käppen' an deenen zwee Sätz identesch? saz1: ""mueres fréi ass de Verurteelte gekäppt ginn "" saz2: ""d'Kanner hunn all d'Blumme gekäppt , déi am Virgäertche stoungen """
erneieren	meng Elteren hunn hir Päss erneiere gelooss 	ech erneiere mäin Abonnement nach dës Woch 	identical	richteg	"Ass d'Bedeitung vun 'erneieren' an deenen zwee Sätz identesch? saz1: ""meng Elteren hunn hir Päss erneiere gelooss "" saz2: ""ech erneiere mäin Abonnement nach dës Woch """
deviéieren	all d'Appellen op der Direktesch hiren Telefon ginn an d'Sekretariat deviéiert 	wéinst dem Chantier gëtt de Verkéier vun der Autobunn iwwer d'Landstrooss deviéiert 	identical	richteg	"Ass d'Bedeitung vun 'deviéieren' an deenen zwee Sätz identesch? saz1: ""all d'Appellen op der Direktesch hiren Telefon ginn an d'Sekretariat deviéiert "" saz2: ""wéinst dem Chantier gëtt de Verkéier vun der Autobunn iwwer d'Landstrooss deviéiert """
erëmfannen	an deem ganzen Duercherneen hunn ech mech net méi erëmfonnt 	elo fannen ech mäin zweete Schong net erëm ! 	different	falsch	"Ass d'Bedeitung vun 'erëmfannen' an deenen zwee Sätz identesch? saz1: ""an deem ganzen Duercherneen hunn ech mech net méi erëmfonnt "" saz2: ""elo fannen ech mäin zweete Schong net erëm ! """
Auditioun	an der Auditioun konnten Experten d'Resultat vun hiren Analysen duerleeën 	de Mëtteg ass d'Auditioun vun engem wichtegen Zeien 	identical	richteg	"Ass d'Bedeitung vun 'Auditioun' an deenen zwee Sätz identesch? saz1: ""an der Auditioun konnten Experten d'Resultat vun hiren Analysen duerleeën "" saz2: ""de Mëtteg ass d'Auditioun vun engem wichtegen Zeien """
realiséieren	jidderee versicht alt, seng Dreem ze realiséieren 	ech hunn nach ëmmer net realiséiert , datt ech pensionéiert sinn 	different	falsch	"Ass d'Bedeitung vun 'realiséieren' an deenen zwee Sätz identesch? saz1: ""jidderee versicht alt, seng Dreem ze realiséieren "" saz2: ""ech hunn nach ëmmer net realiséiert , datt ech pensionéiert sinn """
stëbsen	ech muss onbedéngt nees eng Kéier am Büro stëbsen ! 	et huet gestëbst , wéi de Camion laanschtgefuer ass 	different	falsch	"Ass d'Bedeitung vun 'stëbsen' an deenen zwee Sätz identesch? saz1: ""ech muss onbedéngt nees eng Kéier am Büro stëbsen ! "" saz2: ""et huet gestëbst , wéi de Camion laanschtgefuer ass """
dauschen	héier, wéi de Wand dobaussen dauscht ! 	no deem staarke Reen huet d'Baach elle gedauscht 	identical	richteg	"Ass d'Bedeitung vun 'dauschen' an deenen zwee Sätz identesch? saz1: ""héier, wéi de Wand dobaussen dauscht ! "" saz2: ""no deem staarke Reen huet d'Baach elle gedauscht """
testen	d'Clientë wëllen den Auto testen , ier se n e kafen 	komm, mer testen eng Kéier deen neie Restaurant niewent der Kierch 	identical	richteg	"Ass d'Bedeitung vun 'testen' an deenen zwee Sätz identesch? saz1: ""d'Clientë wëllen den Auto testen , ier se n e kafen "" saz2: ""komm, mer testen eng Kéier deen neie Restaurant niewent der Kierch """
lueden	si hunn hir Bagagen an d'Mall gelueden 	de Camion gëtt muer eréischt gelueden 	different	falsch	"Ass d'Bedeitung vun 'lueden' an deenen zwee Sätz identesch? saz1: ""si hunn hir Bagagen an d'Mall gelueden "" saz2: ""de Camion gëtt muer eréischt gelueden """
Fësch	all Joer gi mir op d'Kiermes e gebakene Fësch iessen 	hien huet en décke Fësch gefaangen 	identical	richteg	"Ass d'Bedeitung vun 'Fësch' an deenen zwee Sätz identesch? saz1: ""all Joer gi mir op d'Kiermes e gebakene Fësch iessen "" saz2: ""hien huet en décke Fësch gefaangen """
opkämmen	fir esou e Buuscht opzekämmen , brauchs de eng Biischt 	virun der Hochzäit kënnt de Coiffer d'Braut nach eng Kéier opkämmen 	different	falsch	"Ass d'Bedeitung vun 'opkämmen' an deenen zwee Sätz identesch? saz1: ""fir esou e Buuscht opzekämmen , brauchs de eng Biischt "" saz2: ""virun der Hochzäit kënnt de Coiffer d'Braut nach eng Kéier opkämmen """
Schock	den Doud vun där jonker Schülerin war e Schock fir hir ganz Klass 	nom Accident stoung de Chauffer ënner Schock , e konnt net méi schwätzen 	different	falsch	"Ass d'Bedeitung vun 'Schock' an deenen zwee Sätz identesch? saz1: ""den Doud vun där jonker Schülerin war e Schock fir hir ganz Klass "" saz2: ""nom Accident stoung de Chauffer ënner Schock , e konnt net méi schwätzen """
Scanner	wann e Barcode schlecht opgepecht ass, kann de Scanner en net liesen 	ass de Scanner un de Computer ugeschloss? 	identical	richteg	"Ass d'Bedeitung vun 'Scanner' an deenen zwee Sätz identesch? saz1: ""wann e Barcode schlecht opgepecht ass, kann de Scanner en net liesen "" saz2: ""ass de Scanner un de Computer ugeschloss? """
Verdéiwung	wou d'Strooss agefall ass, ass eng Verdéiwung entstanen, wou d'Reewaasser dra stoe bleift 	ier d'Verfassung soll geännert ginn, ass eng Verdéiwung vum politeschen Dialog néideg 	different	falsch	"Ass d'Bedeitung vun 'Verdéiwung' an deenen zwee Sätz identesch? saz1: ""wou d'Strooss agefall ass, ass eng Verdéiwung entstanen, wou d'Reewaasser dra stoe bleift "" saz2: ""ier d'Verfassung soll geännert ginn, ass eng Verdéiwung vum politeschen Dialog néideg """
Ongerechtegkeet	seng Ongerechtegkeet mécht mech ganz rosen 	d'Welt ass voller Ongerechtegkeeten 	different	falsch	"Ass d'Bedeitung vun 'Ongerechtegkeet' an deenen zwee Sätz identesch? saz1: ""seng Ongerechtegkeet mécht mech ganz rosen "" saz2: ""d'Welt ass voller Ongerechtegkeeten """
Bord	d'Schëff huet ofgeluecht, esoubal d'Leit all u Bord waren 	d'Passagéier gi grad vu Bord 	identical	richteg	"Ass d'Bedeitung vun 'Bord' an deenen zwee Sätz identesch? saz1: ""d'Schëff huet ofgeluecht, esoubal d'Leit all u Bord waren "" saz2: ""d'Passagéier gi grad vu Bord """
gediicht	wann ech gewosst hätt, datt s du esou gediicht bass, hätt ech dech de rietse Bauer spille gelooss 	mäi Brudder ass e ganz gediichte Bouschéisser 	identical	richteg	"Ass d'Bedeitung vun 'gediicht' an deenen zwee Sätz identesch? saz1: ""wann ech gewosst hätt, datt s du esou gediicht bass, hätt ech dech de rietse Bauer spille gelooss "" saz2: ""mäi Brudder ass e ganz gediichte Bouschéisser """
studéieren	ech studéiere Chimie op enger auslännescher Universitéit 	de Student huet eng Bourse kritt, fir an d'Ausland studéieren ze goen 	different	falsch	"Ass d'Bedeitung vun 'studéieren' an deenen zwee Sätz identesch? saz1: ""ech studéiere Chimie op enger auslännescher Universitéit "" saz2: ""de Student huet eng Bourse kritt, fir an d'Ausland studéieren ze goen """
amplaz	amplaz e Bréif ze schreiwen, häss de och kënnen uruffen 	am Blummebuttek hunn se mer en Arrangement amplaz vun engem Stack proposéiert 	different	falsch	"Ass d'Bedeitung vun 'amplaz' an deenen zwee Sätz identesch? saz1: ""amplaz e Bréif ze schreiwen, häss de och kënnen uruffen "" saz2: ""am Blummebuttek hunn se mer en Arrangement amplaz vun engem Stack proposéiert """
lëfteg	wann et esou waarm dobaussen ass, doen ech gäre méi lëftegt Gezei un 	haut hate mer e lëftegen Dag 	different	falsch	"Ass d'Bedeitung vun 'lëfteg' an deenen zwee Sätz identesch? saz1: ""wann et esou waarm dobaussen ass, doen ech gäre méi lëftegt Gezei un "" saz2: ""haut hate mer e lëftegen Dag """
voilà	voilà , elo hu mer de Misär! 	voilà , ech hat der jo gesot, du kéims net an déi Parkplaz eran! 	identical	richteg	"Ass d'Bedeitung vun 'voilà' an deenen zwee Sätz identesch? saz1: ""voilà , elo hu mer de Misär! "" saz2: ""voilà , ech hat der jo gesot, du kéims net an déi Parkplaz eran! """
zougräifen	bei esou enger Offer muss een direkt zougräifen 	bei dësem Dessert kanns de zougräifen , en huet net vill Kalorien! 	identical	richteg	"Ass d'Bedeitung vun 'zougräifen' an deenen zwee Sätz identesch? saz1: ""bei esou enger Offer muss een direkt zougräifen "" saz2: ""bei dësem Dessert kanns de zougräifen , en huet net vill Kalorien! """
daierlech	mat esou enger daierlecher Rent mécht ee keng grouss Spréng 	wat hues du haut eng daierlech Stëmm! 	different	falsch	"Ass d'Bedeitung vun 'daierlech' an deenen zwee Sätz identesch? saz1: ""mat esou enger daierlecher Rent mécht ee keng grouss Spréng "" saz2: ""wat hues du haut eng daierlech Stëmm! """
usprochsvoll	um sproochlechen Niveau ass de Lëtzebuerger Schoulsystem relativ usprochsvoll 	d'Betreiung vu klenge Kanner ass eng usprochsvoll Aarbecht 	identical	richteg	"Ass d'Bedeitung vun 'usprochsvoll' an deenen zwee Sätz identesch? saz1: ""um sproochlechen Niveau ass de Lëtzebuerger Schoulsystem relativ usprochsvoll "" saz2: ""d'Betreiung vu klenge Kanner ass eng usprochsvoll Aarbecht """
Première	eise Bouf ass dëst Joer op Première 	nom leschten Examen hunn d'Premièren zesumme gefeiert 	identical	richteg	"Ass d'Bedeitung vun 'Première' an deenen zwee Sätz identesch? saz1: ""eise Bouf ass dëst Joer op Première "" saz2: ""nom leschten Examen hunn d'Premièren zesumme gefeiert """
verletzen	beim Accident gouf glécklecherweis kee verletzt 	ech hu mech um Knéi verletzt , mee ech hu mer näischt gebrach 	identical	richteg	"Ass d'Bedeitung vun 'verletzen' an deenen zwee Sätz identesch? saz1: ""beim Accident gouf glécklecherweis kee verletzt "" saz2: ""ech hu mech um Knéi verletzt , mee ech hu mer näischt gebrach """
Salsifi	mir haten de Mëtteg Salsifien als Geméis beim Brot 	an eisem Buedem ginn d'Salsifien net déck 	different	falsch	"Ass d'Bedeitung vun 'Salsifi' an deenen zwee Sätz identesch? saz1: ""mir haten de Mëtteg Salsifien als Geméis beim Brot "" saz2: ""an eisem Buedem ginn d'Salsifien net déck """
Depannage	deen Depannage op der Autobunn ass mech eng deier ginn! 	den Auto geet net un, mir mussen den Depannage ruffen 	different	falsch	"Ass d'Bedeitung vun 'Depannage' an deenen zwee Sätz identesch? saz1: ""deen Depannage op der Autobunn ass mech eng deier ginn! "" saz2: ""den Auto geet net un, mir mussen den Depannage ruffen """
Rous	och e Gäertner pickt sech alt un enger Rous 	IRON hei richt et net no Rousen 	identical	richteg	"Ass d'Bedeitung vun 'Rous' an deenen zwee Sätz identesch? saz1: ""och e Gäertner pickt sech alt un enger Rous "" saz2: ""IRON hei richt et net no Rousen """
steril	am leschte Kommitee goufen nëmme steril Diskussioune geféiert 	d'Chirurge schaffe mat sterillen Instrumenter 	different	falsch	"Ass d'Bedeitung vun 'steril' an deenen zwee Sätz identesch? saz1: ""am leschte Kommitee goufen nëmme steril Diskussioune geféiert "" saz2: ""d'Chirurge schaffe mat sterillen Instrumenter """
verschlécken	drénk net esou stuerazeg, soss verschlécks de dech! 	wéi de Garçon mer d'Rechnung bruecht huet, hunn ech mech bal verschléckt 	identical	richteg	"Ass d'Bedeitung vun 'verschlécken' an deenen zwee Sätz identesch? saz1: ""drénk net esou stuerazeg, soss verschlécks de dech! "" saz2: ""wéi de Garçon mer d'Rechnung bruecht huet, hunn ech mech bal verschléckt """
opfueren	d'Jupe ass an der Nout opgefuer 	de Mond ass him alt erëm opgefuer , ier en nogeduecht hat 	identical	richteg	"Ass d'Bedeitung vun 'opfueren' an deenen zwee Sätz identesch? saz1: ""d'Jupe ass an der Nout opgefuer "" saz2: ""de Mond ass him alt erëm opgefuer , ier en nogeduecht hat """
ewechginn	mäi Brudder huet säin ale Vëlo ewechginn 	d'Kanner ginn hir Sue gäre fir Kamellen ewech 	different	falsch	"Ass d'Bedeitung vun 'ewechginn' an deenen zwee Sätz identesch? saz1: ""mäi Brudder huet säin ale Vëlo ewechginn "" saz2: ""d'Kanner ginn hir Sue gäre fir Kamellen ewech """
verschleefen	d'Terroristen hunn e klenge Grupp vun auslännesche Journaliste verschleeft 	déi ganz Prozedur gouf vun Ufank u verschleeft 	different	falsch	"Ass d'Bedeitung vun 'verschleefen' an deenen zwee Sätz identesch? saz1: ""d'Terroristen hunn e klenge Grupp vun auslännesche Journaliste verschleeft "" saz2: ""déi ganz Prozedur gouf vun Ufank u verschleeft """
moer	dëst Joer ass de Baueren hiren Ertrag méi ewéi moer 	du bass ze moer , du méchs ze vill Sport! 	different	falsch	"Ass d'Bedeitung vun 'moer' an deenen zwee Sätz identesch? saz1: ""dëst Joer ass de Baueren hiren Ertrag méi ewéi moer "" saz2: ""du bass ze moer , du méchs ze vill Sport! """
